date,value
2014-01-20,
2014-01-21,2.78
2014-01-22,2.8
2014-01-23,2.72
2014-01-24,2.68
2014-01-27,2.71
2014-01-28,2.7
2014-01-29,2.62
2014-01-30,2.65
2014-01-31,2.6
2014-02-03,2.54
2014-02-04,2.57
2014-02-05,2.63
2014-02-06,2.66
2014-02-07,2.65
2014-02-10,2.63
2014-02-11,2.69
2014-02-12,2.73
2014-02-13,2.67
2014-02-14,2.69
2014-02-17,
2014-02-18,2.64
2014-02-19,2.66
2014-02-20,2.69
2014-02-21,2.66
2014-02-24,2.68
2014-02-25,2.63
2014-02-26,2.6
2014-02-27,2.58
2014-02-28,2.6
2014-03-03,2.53
2014-03-04,2.63
2014-03-05,2.62
2014-03-06,2.66
2014-03-07,2.72
2014-03-10,2.71
2014-03-11,2.69
2014-03-12,2.65
2014-03-13,2.58
2014-03-14,2.57
2014-03-17,2.62
2014-03-18,2.6
2014-03-19,2.7
2014-03-20,2.71
2014-03-21,2.67
2014-03-24,2.65
2014-03-25,2.66
2014-03-26,2.63
2014-03-27,2.61
2014-03-28,2.65
2014-03-31,2.67
2014-04-01,2.69
2014-04-02,2.73
2014-04-03,2.72
2014-04-04,2.66
2014-04-07,2.62
2014-04-08,2.61
2014-04-09,2.63
2014-04-10,2.57
2014-04-11,2.54
2014-04-14,2.56
2014-04-15,2.54
2014-04-16,2.56
2014-04-17,2.64
2014-04-18,
2014-04-21,2.63
2014-04-22,2.63
2014-04-23,2.6
2014-04-24,2.6
2014-04-25,2.59
2014-04-28,2.61
2014-04-29,2.61
2014-04-30,2.58
2014-05-01,2.54
2014-05-02,2.51
2014-05-05,2.54
2014-05-06,2.52
2014-05-07,2.54
2014-05-08,2.53
2014-05-09,2.54
2014-05-12,2.58
2014-05-13,2.52
2014-05-14,2.46
2014-05-15,2.41
2014-05-16,2.43
2014-05-19,2.45
2014-05-20,2.43
2014-05-21,2.45
2014-05-22,2.47
2014-05-23,2.45
2014-05-26,
2014-05-27,2.43
2014-05-28,2.35
2014-05-29,2.36
2014-05-30,2.4
2014-06-02,2.45
2014-06-03,2.5
2014-06-04,2.52
2014-06-05,2.5
2014-06-06,2.51
2014-06-09,2.53
2014-06-10,2.55
2014-06-11,2.56
2014-06-12,2.49
2014-06-13,2.5
2014-06-16,2.51
2014-06-17,2.56
2014-06-18,2.51
2014-06-19,2.54
2014-06-20,2.53
2014-06-23,2.53
2014-06-24,2.49
