,Value
2015-03-05,3.25
2015-03-06,3.25
2015-03-09,3.25
2015-03-10,3.25
2015-03-11,3.25
2015-03-12,3.25
2015-03-13,3.25
2015-03-16,3.25
2015-03-17,3.25
2015-03-18,3.25
2015-03-19,3.25
2015-03-20,3.25
2015-03-23,3.25
2015-03-24,3.25
2015-03-25,3.25
2015-03-26,3.25
2015-03-27,3.25
2015-03-30,3.25
2015-03-31,3.25
2015-04-01,3.25
2015-04-02,3.25
2015-04-03,3.25
2015-04-06,3.25
2015-04-07,3.25
2015-04-08,3.25
2015-04-09,3.25
2015-04-10,3.25
2015-04-13,3.25
2015-04-14,3.25
2015-04-15,3.25
2015-04-16,3.25
2015-04-17,3.25
2015-04-20,3.25
2015-04-21,3.25
2015-04-22,3.25
2015-04-23,3.25
2015-04-24,3.25
2015-04-27,3.25
2015-04-28,3.25
2015-04-29,3.25
2015-04-30,3.25
2015-05-01,3.25
2015-05-04,3.25
2015-05-05,3.25
2015-05-06,3.25
2015-05-07,3.25
2015-05-08,3.25
2015-05-11,3.25
2015-05-12,3.25
2015-05-13,3.25
2015-05-14,3.25
2015-05-15,3.25
2015-05-18,3.25
2015-05-19,3.25
2015-05-20,3.25
2015-05-21,3.25
2015-05-22,3.25
2015-05-25,3.25
2015-05-26,3.25
2015-05-27,3.25
2015-05-28,3.25
2015-05-29,3.25
2015-06-01,3.25
2015-06-02,3.25
2015-06-03,3.25
2015-06-04,3.25
2015-06-05,3.25
2015-06-08,3.25
2015-06-09,3.25
2015-06-10,3.25
2015-06-11,3.25
2015-06-12,3.25
2015-06-15,3.25
2015-06-16,3.25
2015-06-17,3.25
2015-06-18,3.25
2015-06-19,3.25
2015-06-22,3.25
2015-06-23,3.25
2015-06-24,3.25
2015-06-25,3.25
2015-06-26,3.25
2015-06-29,3.25
2015-06-30,3.25
2015-07-01,3.25
2015-07-02,3.25
2015-07-03,
2015-07-06,3.25
2015-07-07,3.25
2015-07-08,3.25
2015-07-09,3.25
2015-07-10,3.25
2015-07-13,3.25
2015-07-14,3.25
2015-07-15,3.25
2015-07-16,3.25
2015-07-17,3.25
2015-07-20,3.25
2015-07-21,3.25
2015-07-22,3.25
2015-07-23,3.25
2015-07-24,3.25
2015-07-27,3.25
2015-07-28,3.25
2015-07-29,3.25
2015-07-30,3.25
2015-07-31,3.25
2015-08-03,3.25
2015-08-04,3.25
2015-08-05,3.25
2015-08-06,3.25
2015-08-07,3.25
2015-08-10,3.25
2015-08-11,3.25
2015-08-12,3.25
2015-08-13,3.25
2015-08-14,3.25
2015-08-17,3.25
2015-08-18,3.25
2015-08-19,3.25
2015-08-20,3.25
2015-08-21,3.25
2015-08-24,3.25
2015-08-25,3.25
2015-08-26,3.25
2015-08-27,3.25
2015-08-28,3.25
2015-08-31,3.25
2015-09-01,3.25
2015-09-02,3.25
2015-09-03,3.25
2015-09-04,3.25
2015-09-07,
2015-09-08,3.25
2015-09-09,3.25
2015-09-10,3.25
2015-09-11,3.25
2015-09-14,3.25
2015-09-15,3.25
2015-09-16,3.25
2015-09-17,3.25
2015-09-18,3.25
2015-09-21,3.25
2015-09-22,3.25
2015-09-23,3.25
2015-09-24,3.25
2015-09-25,3.25
2015-09-28,3.25
2015-09-29,3.25
2015-09-30,3.25
2015-10-01,3.25
2015-10-02,3.25
2015-10-05,3.25
2015-10-06,3.25
2015-10-07,3.25
2015-10-08,3.25
2015-10-09,3.25
2015-10-12,
2015-10-13,3.25
2015-10-14,3.25
2015-10-15,3.25
2015-10-16,3.25
2015-10-19,3.25
2015-10-20,3.25
2015-10-21,3.25
2015-10-22,3.25
2015-10-23,3.25
2015-10-26,3.25
2015-10-27,3.25
2015-10-28,3.25
2015-10-29,3.25
2015-10-30,3.25
2015-11-02,3.25
2015-11-03,3.25
2015-11-04,3.25
2015-11-05,3.25
2015-11-06,3.25
2015-11-09,3.25
2015-11-10,3.25
2015-11-11,
2015-11-12,3.25
2015-11-13,3.25
2015-11-16,3.25
2015-11-17,3.25
2015-11-18,3.25
2015-11-19,3.25
2015-11-20,3.25
2015-11-23,3.25
2015-11-24,3.25
2015-11-25,3.25
2015-11-26,
2015-11-27,3.25
2015-11-30,3.25
2015-12-01,3.25
2015-12-02,3.25
2015-12-03,3.25
2015-12-04,3.25
2015-12-07,3.25
2015-12-08,3.25
