,Value
2022-09-24,187000.0
2022-10-01,204000.0
2022-10-08,207000.0
2022-10-15,200000.0
2022-10-22,201000.0
2022-10-29,202000.0
2022-11-05,204000.0
2022-11-12,208000.0
2022-11-19,219000.0
2022-11-26,209000.0
2022-12-03,210000.0
2022-12-10,211000.0
2022-12-17,211000.0
2022-12-24,207000.0
2022-12-31,203000.0
2023-01-07,207000.0
2023-01-14,203000.0
2023-01-21,202000.0
2023-01-28,199000.0
2023-02-04,214000.0
2023-02-11,217000.0
2023-02-18,215000.0
2023-02-25,208000.0
2023-03-04,227000.0
2023-03-11,221000.0
2023-03-18,228000.0
2023-03-25,232000.0
2023-04-01,216000.0
2023-04-08,220000.0
2023-04-15,224000.0
2023-04-22,209000.0
2023-04-29,214000.0
2023-05-06,225000.0
2023-05-13,225000.0
2023-05-20,227000.0
2023-05-27,231000.0
2023-06-03,255000.0
2023-06-10,260000.0
2023-06-17,261000.0
2023-06-24,238000.0
2023-07-01,248000.0
2023-07-08,232000.0
2023-07-15,231000.0
2023-07-22,231000.0
2023-07-29,240000.0
2023-08-05,258000.0
2023-08-12,248000.0
2023-08-19,241000.0
2023-08-26,234000.0
2023-09-02,228000.0
2023-09-09,227000.0
2023-09-16,210000.0
2023-09-23,213000.0
2023-09-30,216000.0
2023-10-07,211000.0
2023-10-14,202000.0
2023-10-21,213000.0
2023-10-28,216000.0
2023-11-04,216000.0
2023-11-11,228000.0
2023-11-18,213000.0
2023-11-25,213000.0
2023-12-02,216000.0
2023-12-09,205000.0
2023-12-16,207000.0
2023-12-23,213000.0
2023-12-30,198000.0
2024-01-06,198000.0
2024-01-13,194000.0
2024-01-20,221000.0
2024-01-27,225000.0
2024-02-03,213000.0
2024-02-10,211000.0
2024-02-17,200000.0
2024-02-24,213000.0
2024-03-02,210000.0
2024-03-09,212000.0
2024-03-16,212000.0
2024-03-23,212000.0
2024-03-30,221000.0
